AssessmentSW,Date,caseload
Devon Lee,2/23/2019,0
Anthony Soto,2/23/2019,0
Julian Little,2/23/2019,0
Russell Brown,2/23/2019,0
Mia Boyd,2/23/2019,0
Irma Cooper,2/23/2019,0
Mark Jacobs,2/23/2019,0
Carla Howell,2/23/2019,0
Sara Perry,2/23/2019,0
Evan Graham,2/23/2019,0
Beatrice Schmidt,2/23/2019,0
Laurie Gibson,2/23/2019,0
Norman Chambers,2/23/2019,0
Diane Meyer,2/23/2019,0
Ian Young,2/23/2019,0
Sonia Herrera,2/23/2019,0
Abigail Meyer,2/23/2019,0
Emma Brooks,2/23/2019,0
Kyle Wood,2/23/2019,0
Francisco Hudson,2/23/2019,0
David Garza,2/23/2019,0
Dana Tucker,2/23/2019,0
Elmer Sims,2/23/2019,0
Roland Hanson,2/23/2019,0
Stacey Ray,2/23/2019,0
Jeanette Barnes,2/23/2019,0
Rhonda Terry,2/23/2019,0
Chris Hamilton,2/23/2019,0
Jared Gonzales,2/24/2019,0
Sandra Lopez,2/24/2019,0
Devon Riley,2/24/2019,0
Matthew Silva,2/24/2019,0
Shelly Stewart,2/24/2019,0
Aubrey Grant,2/24/2019,0
Alvin Gutierrez,2/24/2019,0
Norman Newman,2/24/2019,0
Scott Franklin,2/24/2019,0
Claude Mills,2/24/2019,0
Colleen Flores,2/24/2019,0
Cherly Jackson,2/24/2019,0
Arthur Morris,2/24/2019,0
Devon Beck,2/24/2019,0
Flenn West,2/24/2019,0
Alyssa Medina,2/24/2019,0
Joanne Kim,2/24/2019,0
Gabe Wright,2/24/2019,0
Rose Watts,2/24/2019,0
Ruben Gutierrez,2/24/2019,0
Devon Lee,2/24/2019,0
Anthony Soto,2/24/2019,0
Julian Little,2/24/2019,0
Russell Brown,2/24/2019,0
Mia Boyd,2/24/2019,0
Irma Cooper,2/24/2019,0
Mark Jacobs,2/24/2019,0
Carla Howell,2/24/2019,0
Sara Perry,2/24/2019,0
Evan Graham,2/24/2019,0
Beatrice Schmidt,2/24/2019,0
Laurie Gibson,2/24/2019,0
Norman Chambers,2/24/2019,0
Diane Meyer,2/24/2019,0
Ian Young,2/24/2019,0
Sonia Herrera,2/24/2019,0
Abigail Meyer,2/24/2019,0
Emma Brooks,2/24/2019,0
Kyle Wood,2/24/2019,0
Francisco Hudson,2/24/2019,0
David Garza,2/24/2019,0
Dana Tucker,2/24/2019,0
Elmer Sims,2/24/2019,0
Roland Hanson,2/24/2019,0
Stacey Ray,2/24/2019,0
Jeanette Barnes,2/24/2019,0
Rhonda Terry,2/24/2019,0
Chris Hamilton,2/24/2019,0
Jared Gonzales,2/25/2019,0
Sandra Lopez,2/25/2019,0
Devon Riley,2/25/2019,0
Matthew Silva,2/25/2019,0
Shelly Stewart,2/25/2019,0
Aubrey Grant,2/25/2019,0
Alvin Gutierrez,2/25/2019,0
Norman Newman,2/25/2019,0
Scott Franklin,2/25/2019,0
Claude Mills,2/25/2019,0
Colleen Flores,2/25/2019,0
Cherly Jackson,2/25/2019,0
Arthur Morris,2/25/2019,0
Devon Beck,2/25/2019,0
Flenn West,2/25/2019,0
Alyssa Medina,2/25/2019,0
Joanne Kim,2/25/2019,0
Gabe Wright,2/25/2019,0
Rose Watts,2/25/2019,0
Ruben Gutierrez,2/25/2019,0
Devon Lee,2/25/2019,0
Anthony Soto,2/25/2019,0
Julian Little,2/25/2019,0
Russell Brown,2/25/2019,0
Mia Boyd,2/25/2019,0
Irma Cooper,2/25/2019,0
Mark Jacobs,2/25/2019,0
Carla Howell,2/25/2019,0
Sara Perry,2/25/2019,0
Evan Graham,2/25/2019,0
Beatrice Schmidt,2/25/2019,0
Laurie Gibson,2/25/2019,0
Norman Chambers,2/25/2019,0
Diane Meyer,2/25/2019,0
Ian Young,2/25/2019,0
Sonia Herrera,2/25/2019,0
Abigail Meyer,2/25/2019,0
Emma Brooks,2/25/2019,0
Kyle Wood,2/25/2019,0
Francisco Hudson,2/25/2019,0
David Garza,2/25/2019,0
Dana Tucker,2/25/2019,0
Elmer Sims,2/25/2019,0
Roland Hanson,2/25/2019,0
Stacey Ray,2/25/2019,0
Jeanette Barnes,2/25/2019,0
Rhonda Terry,2/25/2019,0
Chris Hamilton,2/25/2019,0
Jared Gonzales,2/26/2019,0
Sandra Lopez,2/26/2019,0
Devon Riley,2/26/2019,0
Matthew Silva,2/26/2019,0
Shelly Stewart,2/26/2019,0
Aubrey Grant,2/26/2019,0
Alvin Gutierrez,2/26/2019,0
Norman Newman,2/26/2019,0
Scott Franklin,2/26/2019,0
Claude Mills,2/26/2019,0
Colleen Flores,2/26/2019,0
Cherly Jackson,2/26/2019,0
Arthur Morris,2/26/2019,0
Devon Beck,2/26/2019,0
Flenn West,2/26/2019,0
Alyssa Medina,2/26/2019,0
Joanne Kim,2/26/2019,0
Gabe Wright,2/26/2019,0
Rose Watts,2/26/2019,0
Ruben Gutierrez,2/26/2019,0
Devon Lee,2/26/2019,0
Anthony Soto,2/26/2019,0
Julian Little,2/26/2019,0
Russell Brown,2/26/2019,0
Mia Boyd,2/26/2019,0
Irma Cooper,2/26/2019,0
Mark Jacobs,2/26/2019,0
Carla Howell,2/26/2019,0
Sara Perry,2/26/2019,0
Evan Graham,2/26/2019,0
Beatrice Schmidt,2/26/2019,0
Laurie Gibson,2/26/2019,0
Norman Chambers,2/26/2019,0
Diane Meyer,2/26/2019,0
Ian Young,2/26/2019,0
Sonia Herrera,2/26/2019,0
Abigail Meyer,2/26/2019,0
Emma Brooks,2/26/2019,0
Kyle Wood,2/26/2019,0
Francisco Hudson,2/26/2019,0
David Garza,2/26/2019,0
Dana Tucker,2/26/2019,0
Elmer Sims,2/26/2019,0
Roland Hanson,2/26/2019,0
Stacey Ray,2/26/2019,0
Jeanette Barnes,2/26/2019,0
Rhonda Terry,2/26/2019,0
Chris Hamilton,2/26/2019,0
Jared Gonzales,2/27/2019,0
Sandra Lopez,2/27/2019,0
Devon Riley,2/27/2019,0
Matthew Silva,2/27/2019,0
Shelly Stewart,2/27/2019,0
Aubrey Grant,2/27/2019,0
Alvin Gutierrez,2/27/2019,0
Norman Newman,2/27/2019,0
Scott Franklin,2/27/2019,0
Claude Mills,2/27/2019,0
Colleen Flores,2/27/2019,0
Cherly Jackson,2/27/2019,0
Arthur Morris,2/27/2019,0
Devon Beck,2/27/2019,0
Flenn West,2/27/2019,0
Alyssa Medina,2/27/2019,0
Joanne Kim,2/27/2019,0
Gabe Wright,2/27/2019,0
Rose Watts,2/27/2019,0
Ruben Gutierrez,2/27/2019,0
Devon Lee,2/27/2019,0
Anthony Soto,2/27/2019,0
Julian Little,2/27/2019,0
Russell Brown,2/27/2019,0
Mia Boyd,2/27/2019,0
Irma Cooper,2/27/2019,0
Mark Jacobs,2/27/2019,0
Carla Howell,2/27/2019,0
Sara Perry,2/27/2019,0
Evan Graham,2/27/2019,0
Beatrice Schmidt,2/27/2019,0
Laurie Gibson,2/27/2019,0
Norman Chambers,2/27/2019,0
Diane Meyer,2/27/2019,0
Ian Young,2/27/2019,0
Sonia Herrera,2/27/2019,0
Abigail Meyer,2/27/2019,0
Emma Brooks,2/27/2019,0
Kyle Wood,2/27/2019,0
Francisco Hudson,2/27/2019,0
David Garza,2/27/2019,0
Dana Tucker,2/27/2019,0
Elmer Sims,2/27/2019,0
Roland Hanson,2/27/2019,0
Stacey Ray,2/27/2019,0
Jeanette Barnes,2/27/2019,0
Rhonda Terry,2/27/2019,0
Chris Hamilton,2/27/2019,0
Jared Gonzales,2/28/2019,0
Sandra Lopez,2/28/2019,0
Devon Riley,2/28/2019,0
Matthew Silva,2/28/2019,0
Shelly Stewart,2/28/2019,0
Aubrey Grant,2/28/2019,0
Alvin Gutierrez,2/28/2019,0
Norman Newman,2/28/2019,0
Scott Franklin,2/28/2019,0
Claude Mills,2/28/2019,0
Colleen Flores,2/28/2019,0
Cherly Jackson,2/28/2019,0
Arthur Morris,2/28/2019,0
Devon Beck,2/28/2019,0
Flenn West,2/28/2019,0
Alyssa Medina,2/28/2019,0
Joanne Kim,2/28/2019,0
Gabe Wright,2/28/2019,0
Rose Watts,2/28/2019,0
Ruben Gutierrez,2/28/2019,0
Devon Lee,2/28/2019,0
Anthony Soto,2/28/2019,0
Julian Little,2/28/2019,0
Russell Brown,2/28/2019,0
Mia Boyd,2/28/2019,0
Irma Cooper,2/28/2019,0
Mark Jacobs,2/28/2019,0
Carla Howell,2/28/2019,0
Evan Graham,2/28/2019,0
Beatrice Schmidt,2/28/2019,0
Laurie Gibson,2/28/2019,0
Norman Chambers,2/28/2019,0
Diane Meyer,2/28/2019,0
Ian Young,2/28/2019,0
Sonia Herrera,2/28/2019,0
Abigail Meyer,2/28/2019,0
Emma Brooks,2/28/2019,0
Kyle Wood,2/28/2019,0
Francisco Hudson,2/28/2019,0
David Garza,2/28/2019,0
Dana Tucker,2/28/2019,0
Elmer Sims,2/28/2019,0
Roland Hanson,2/28/2019,0
Stacey Ray,2/28/2019,0
Jeanette Barnes,2/28/2019,0
Rhonda Terry,2/28/2019,0
Chris Hamilton,2/28/2019,0
Jared Gonzales,3/1/2019,0
Sandra Lopez,3/1/2019,0
Devon Riley,3/1/2019,0
Matthew Silva,3/1/2019,0
Shelly Stewart,3/1/2019,0
Aubrey Grant,3/1/2019,0
Alvin Gutierrez,3/1/2019,0
Norman Newman,3/1/2019,0
Scott Franklin,3/1/2019,0
Claude Mills,3/1/2019,0
Colleen Flores,3/1/2019,0
Cherly Jackson,3/1/2019,0
Arthur Morris,3/1/2019,0
Devon Beck,3/1/2019,0
Flenn West,3/1/2019,0
Alyssa Medina,3/1/2019,0
Joanne Kim,3/1/2019,0
Gabe Wright,3/1/2019,0
Rose Watts,3/1/2019,0
Ruben Gutierrez,3/1/2019,0
Devon Lee,3/1/2019,0
Anthony Soto,3/1/2019,0
Julian Little,3/1/2019,0
Russell Brown,3/1/2019,0
Mia Boyd,3/1/2019,0
Irma Cooper,3/1/2019,0
Mark Jacobs,3/1/2019,0
Carla Howell,3/1/2019,0
Evan Graham,3/1/2019,0
Beatrice Schmidt,3/1/2019,0
Laurie Gibson,3/1/2019,0
Norman Chambers,3/1/2019,0
Diane Meyer,3/1/2019,0
Ian Young,3/1/2019,0
Sonia Herrera,3/1/2019,0
Abigail Meyer,3/1/2019,0
Emma Brooks,3/1/2019,0
Kyle Wood,3/1/2019,0
Francisco Hudson,3/1/2019,0
David Garza,3/1/2019,0
Dana Tucker,3/1/2019,0
Elmer Sims,3/1/2019,0
Roland Hanson,3/1/2019,0
Stacey Ray,3/1/2019,0
Jeanette Barnes,3/1/2019,0
Rhonda Terry,3/1/2019,0
Chris Hamilton,3/1/2019,0
Jared Gonzales,3/2/2019,0
Sandra Lopez,3/2/2019,0
Devon Riley,3/2/2019,0
Matthew Silva,3/2/2019,0
Shelly Stewart,3/2/2019,0
Aubrey Grant,3/2/2019,0
Alvin Gutierrez,3/2/2019,0
Norman Newman,3/2/2019,0
Scott Franklin,3/2/2019,0
Claude Mills,3/2/2019,0
Colleen Flores,3/2/2019,0
Cherly Jackson,3/2/2019,0
Arthur Morris,3/2/2019,0
Devon Beck,3/2/2019,0
Flenn West,3/2/2019,0
Alyssa Medina,3/2/2019,0
Joanne Kim,3/2/2019,0
Gabe Wright,3/2/2019,0
Rose Watts,3/2/2019,0
Ruben Gutierrez,3/2/2019,0
Devon Lee,3/2/2019,0
Anthony Soto,3/2/2019,0
Julian Little,3/2/2019,0
Russell Brown,3/2/2019,0
Mia Boyd,3/2/2019,0
Irma Cooper,3/2/2019,0
Mark Jacobs,3/2/2019,0
Carla Howell,3/2/2019,0
Evan Graham,3/2/2019,0
Beatrice Schmidt,3/2/2019,0
Laurie Gibson,3/2/2019,0
Norman Chambers,3/2/2019,0
Diane Meyer,3/2/2019,0
Ian Young,3/2/2019,0
Sonia Herrera,3/2/2019,0
Abigail Meyer,3/2/2019,0
Emma Brooks,3/2/2019,0
Kyle Wood,3/2/2019,0
Francisco Hudson,3/2/2019,0
David Garza,3/2/2019,0
Dana Tucker,3/2/2019,0
Elmer Sims,3/2/2019,0
Roland Hanson,3/2/2019,0
Stacey Ray,3/2/2019,0
Jeanette Barnes,3/2/2019,0
Rhonda Terry,3/2/2019,0
Chris Hamilton,3/2/2019,0
Jared Gonzales,3/3/2019,0
Sandra Lopez,3/3/2019,0
Devon Riley,3/3/2019,0
Matthew Silva,3/3/2019,0
Shelly Stewart,3/3/2019,0
Aubrey Grant,3/3/2019,0
Alvin Gutierrez,3/3/2019,0
Norman Newman,3/3/2019,0
Scott Franklin,3/3/2019,0
Claude Mills,3/3/2019,0
Colleen Flores,3/3/2019,0
Cherly Jackson,3/3/2019,0
Arthur Morris,3/3/2019,0
Devon Beck,3/3/2019,0
Flenn West,3/3/2019,0
Alyssa Medina,3/3/2019,0
Joanne Kim,3/3/2019,0
Gabe Wright,3/3/2019,0
Rose Watts,3/3/2019,0
Ruben Gutierrez,3/3/2019,0
Devon Lee,3/3/2019,0
Anthony Soto,3/3/2019,0
Julian Little,3/3/2019,0
Russell Brown,3/3/2019,0
Mia Boyd,3/3/2019,0
Irma Cooper,3/3/2019,0
Mark Jacobs,3/3/2019,0
Carla Howell,3/3/2019,0
Evan Graham,3/3/2019,0
Beatrice Schmidt,3/3/2019,0
Laurie Gibson,3/3/2019,0
Norman Chambers,3/3/2019,0
Diane Meyer,3/3/2019,0
Ian Young,3/3/2019,0
Sonia Herrera,3/3/2019,0
Abigail Meyer,3/3/2019,0
Emma Brooks,3/3/2019,0
Kyle Wood,3/3/2019,0
Francisco Hudson,3/3/2019,0
David Garza,3/3/2019,0
Dana Tucker,3/3/2019,0
Elmer Sims,3/3/2019,0
Roland Hanson,3/3/2019,0
Stacey Ray,3/3/2019,0
Jeanette Barnes,3/3/2019,0
Rhonda Terry,3/3/2019,0
Chris Hamilton,3/3/2019,0
Jared Gonzales,3/4/2019,0
Sandra Lopez,3/4/2019,0
Devon Riley,3/4/2019,0
Matthew Silva,3/4/2019,0
Shelly Stewart,3/4/2019,0
Aubrey Grant,3/4/2019,0
Alvin Gutierrez,3/4/2019,0
Norman Newman,3/4/2019,0
Scott Franklin,3/4/2019,0
Claude Mills,3/4/2019,0
Colleen Flores,3/4/2019,0
Cherly Jackson,3/4/2019,0
Arthur Morris,3/4/2019,0
Devon Beck,3/4/2019,0
Flenn West,3/4/2019,0
Alyssa Medina,3/4/2019,0
Joanne Kim,3/4/2019,0
Gabe Wright,3/4/2019,0
Rose Watts,3/4/2019,0
Ruben Gutierrez,3/4/2019,0
Devon Lee,3/4/2019,0
Anthony Soto,3/4/2019,0
Julian Little,3/4/2019,0
Russell Brown,3/4/2019,0
Mia Boyd,3/4/2019,0
Irma Cooper,3/4/2019,0
Mark Jacobs,3/4/2019,0
Carla Howell,3/4/2019,0
Evan Graham,3/4/2019,0
Beatrice Schmidt,3/4/2019,0
Laurie Gibson,3/4/2019,0
Norman Chambers,3/4/2019,0
Diane Meyer,3/4/2019,0
Ian Young,3/4/2019,0
Sonia Herrera,3/4/2019,0
Abigail Meyer,3/4/2019,0
Emma Brooks,3/4/2019,0
Kyle Wood,3/4/2019,0
Francisco Hudson,3/4/2019,0
David Garza,3/4/2019,0
Dana Tucker,3/4/2019,0
Elmer Sims,3/4/2019,0
Roland Hanson,3/4/2019,0
Stacey Ray,3/4/2019,0
Jeanette Barnes,3/4/2019,0
Rhonda Terry,3/4/2019,0
Chris Hamilton,3/4/2019,0
Jared Gonzales,3/5/2019,0
Sandra Lopez,3/5/2019,0
Devon Riley,3/5/2019,0
Matthew Silva,3/5/2019,0
Shelly Stewart,3/5/2019,0
Aubrey Grant,3/5/2019,0
Alvin Gutierrez,3/5/2019,0
Norman Newman,3/5/2019,0
Scott Franklin,3/5/2019,0
Claude Mills,3/5/2019,0
Colleen Flores,3/5/2019,0
Cherly Jackson,3/5/2019,0
Arthur Morris,3/5/2019,0
Devon Beck,3/5/2019,0
Alyssa Medina,3/5/2019,0
Joanne Kim,3/5/2019,0
Gabe Wright,3/5/2019,0
Rose Watts,3/5/2019,0
Ruben Gutierrez,3/5/2019,0
Devon Lee,3/5/2019,0
Anthony Soto,3/5/2019,0
Julian Little,3/5/2019,0
Russell Brown,3/5/2019,0
Mia Boyd,3/5/2019,0
Irma Cooper,3/5/2019,0
Mark Jacobs,3/5/2019,0
Carla Howell,3/5/2019,0
Evan Graham,3/5/2019,0
Beatrice Schmidt,3/5/2019,0
Laurie Gibson,3/5/2019,0
Norman Chambers,3/5/2019,0
Diane Meyer,3/5/2019,0
Ian Young,3/5/2019,0
Sonia Herrera,3/5/2019,0
Abigail Meyer,3/5/2019,0
Emma Brooks,3/5/2019,0
Kyle Wood,3/5/2019,0
Francisco Hudson,3/5/2019,0
David Garza,3/5/2019,0
Dana Tucker,3/5/2019,0
Elmer Sims,3/5/2019,0
Roland Hanson,3/5/2019,0
Stacey Ray,3/5/2019,0
Jeanette Barnes,3/5/2019,0
Rhonda Terry,3/5/2019,0
Chris Hamilton,3/5/2019,0
Jared Gonzales,3/6/2019,0
Sandra Lopez,3/6/2019,0
Devon Riley,3/6/2019,0
Matthew Silva,3/6/2019,0
Shelly Stewart,3/6/2019,0
Aubrey Grant,3/6/2019,0
Alvin Gutierrez,3/6/2019,0
Norman Newman,3/6/2019,0
Scott Franklin,3/6/2019,0
Claude Mills,3/6/2019,0
Colleen Flores,3/6/2019,0
Cherly Jackson,3/6/2019,0
Arthur Morris,3/6/2019,0
Devon Beck,3/6/2019,0
Alyssa Medina,3/6/2019,0
Joanne Kim,3/6/2019,0
Gabe Wright,3/6/2019,0
Rose Watts,3/6/2019,0
Ruben Gutierrez,3/6/2019,0
Devon Lee,3/6/2019,0
Anthony Soto,3/6/2019,0
Julian Little,3/6/2019,0
Russell Brown,3/6/2019,0
Mia Boyd,3/6/2019,0
Irma Cooper,3/6/2019,0
Mark Jacobs,3/6/2019,0
Carla Howell,3/6/2019,0
Evan Graham,3/6/2019,0
Beatrice Schmidt,3/6/2019,0
Laurie Gibson,3/6/2019,0
Norman Chambers,3/6/2019,0
Diane Meyer,3/6/2019,0
Ian Young,3/6/2019,0
Sonia Herrera,3/6/2019,0
Abigail Meyer,3/6/2019,0
Emma Brooks,3/6/2019,0
Kyle Wood,3/6/2019,0
Francisco Hudson,3/6/2019,0
David Garza,3/6/2019,0
Dana Tucker,3/6/2019,0
Elmer Sims,3/6/2019,0
Roland Hanson,3/6/2019,0
Stacey Ray,3/6/2019,0
Jeanette Barnes,3/6/2019,0
Rhonda Terry,3/6/2019,0
Chris Hamilton,3/6/2019,0
Jared Gonzales,3/7/2019,0
Sandra Lopez,3/7/2019,0
Devon Riley,3/7/2019,0
Matthew Silva,3/7/2019,0
Shelly Stewart,3/7/2019,0
Aubrey Grant,3/7/2019,0
Alvin Gutierrez,3/7/2019,0
Norman Newman,3/7/2019,0
Scott Franklin,3/7/2019,0
Claude Mills,3/7/2019,0
Colleen Flores,3/7/2019,0
Cherly Jackson,3/7/2019,0
Arthur Morris,3/7/2019,0
Devon Beck,3/7/2019,0
Alyssa Medina,3/7/2019,0
Joanne Kim,3/7/2019,0
Gabe Wright,3/7/2019,0
Rose Watts,3/7/2019,0
Ruben Gutierrez,3/7/2019,0
Devon Lee,3/7/2019,0
Anthony Soto,3/7/2019,0
Julian Little,3/7/2019,0
Russell Brown,3/7/2019,0
Mia Boyd,3/7/2019,0
Irma Cooper,3/7/2019,0
Mark Jacobs,3/7/2019,0
Carla Howell,3/7/2019,0
Evan Graham,3/7/2019,0
Beatrice Schmidt,3/7/2019,0
Laurie Gibson,3/7/2019,0
Norman Chambers,3/7/2019,0
Diane Meyer,3/7/2019,0
Ian Young,3/7/2019,0
Sonia Herrera,3/7/2019,0
Abigail Meyer,3/7/2019,0
Emma Brooks,3/7/2019,0
Kyle Wood,3/7/2019,0
Francisco Hudson,3/7/2019,0
David Garza,3/7/2019,0
Dana Tucker,3/7/2019,0
Elmer Sims,3/7/2019,0
Roland Hanson,3/7/2019,0
Stacey Ray,3/7/2019,0
Jeanette Barnes,3/7/2019,0
Rhonda Terry,3/7/2019,0
Chris Hamilton,3/7/2019,0
Jared Gonzales,3/8/2019,0
Sandra Lopez,3/8/2019,0
Devon Riley,3/8/2019,0
Matthew Silva,3/8/2019,0
Shelly Stewart,3/8/2019,0
Aubrey Grant,3/8/2019,0
Alvin Gutierrez,3/8/2019,0
Norman Newman,3/8/2019,0
Scott Franklin,3/8/2019,0
Claude Mills,3/8/2019,0
Colleen Flores,3/8/2019,0
Cherly Jackson,3/8/2019,0
Ana Lewis,3/8/2019,0
Arthur Morris,3/8/2019,0
Devon Beck,3/8/2019,0
Alyssa Medina,3/8/2019,0
Joanne Kim,3/8/2019,0
Gabe Wright,3/8/2019,0
Rose Watts,3/8/2019,0
Ruben Gutierrez,3/8/2019,0
Devon Lee,3/8/2019,0
Anthony Soto,3/8/2019,0
Julian Little,3/8/2019,0
Russell Brown,3/8/2019,0
Mia Boyd,3/8/2019,0
Irma Cooper,3/8/2019,0
Mark Jacobs,3/8/2019,0
Carla Howell,3/8/2019,0
Evan Graham,3/8/2019,0
Beatrice Schmidt,3/8/2019,0
Laurie Gibson,3/8/2019,0
Norman Chambers,3/8/2019,0
Diane Meyer,3/8/2019,0
Ian Young,3/8/2019,0
Sonia Herrera,3/8/2019,0
Abigail Meyer,3/8/2019,0
Emma Brooks,3/8/2019,0
Kyle Wood,3/8/2019,0
Francisco Hudson,3/8/2019,0
David Garza,3/8/2019,0
Dana Tucker,3/8/2019,0
Elmer Sims,3/8/2019,0
Roland Hanson,3/8/2019,0
Stacey Ray,3/8/2019,0
Jeanette Barnes,3/8/2019,0
Rhonda Terry,3/8/2019,0
Chris Hamilton,3/8/2019,0
Jared Gonzales,3/9/2019,0
Sandra Lopez,3/9/2019,0
Devon Riley,3/9/2019,0
Matthew Silva,3/9/2019,0
Shelly Stewart,3/9/2019,0
Aubrey Grant,3/9/2019,0
Alvin Gutierrez,3/9/2019,0
Norman Newman,3/9/2019,0
Scott Franklin,3/9/2019,0
Claude Mills,3/9/2019,0
Colleen Flores,3/9/2019,0
Cherly Jackson,3/9/2019,0
Ana Lewis,3/9/2019,0
Arthur Morris,3/9/2019,0
Devon Beck,3/9/2019,0
Alyssa Medina,3/9/2019,0
Joanne Kim,3/9/2019,0
Gabe Wright,3/9/2019,0
Rose Watts,3/9/2019,0
Ruben Gutierrez,3/9/2019,0
Devon Lee,3/9/2019,0
Anthony Soto,3/9/2019,0
Julian Little,3/9/2019,0
Russell Brown,3/9/2019,0
Mia Boyd,3/9/2019,0
Irma Cooper,3/9/2019,0
Mark Jacobs,3/9/2019,0
Carla Howell,3/9/2019,0
Evan Graham,3/9/2019,0
Beatrice Schmidt,3/9/2019,0
Laurie Gibson,3/9/2019,0
Norman Chambers,3/9/2019,0
Diane Meyer,3/9/2019,0
Ian Young,3/9/2019,0
Sonia Herrera,3/9/2019,0
Abigail Meyer,3/9/2019,0
Emma Brooks,3/9/2019,0
Kyle Wood,3/9/2019,0
Francisco Hudson,3/9/2019,0
David Garza,3/9/2019,0
Dana Tucker,3/9/2019,0
Elmer Sims,3/9/2019,0
Roland Hanson,3/9/2019,0
Stacey Ray,3/9/2019,0
Jeanette Barnes,3/9/2019,0
Rhonda Terry,3/9/2019,0
Chris Hamilton,3/9/2019,0
Jared Gonzales,3/10/2019,0
Sandra Lopez,3/10/2019,0
Devon Riley,3/10/2019,0
Matthew Silva,3/10/2019,0
Shelly Stewart,3/10/2019,0
Aubrey Grant,3/10/2019,0
Alvin Gutierrez,3/10/2019,0
Norman Newman,3/10/2019,0
Scott Franklin,3/10/2019,0
Claude Mills,3/10/2019,0
Colleen Flores,3/10/2019,0
Cherly Jackson,3/10/2019,0
Ana Lewis,3/10/2019,0
Arthur Morris,3/10/2019,0
Devon Beck,3/10/2019,0
Alyssa Medina,3/10/2019,0
Joanne Kim,3/10/2019,0
Gabe Wright,3/10/2019,0
Rose Watts,3/10/2019,0
Ruben Gutierrez,3/10/2019,0
Devon Lee,3/10/2019,0
Anthony Soto,3/10/2019,0
Julian Little,3/10/2019,0
Russell Brown,3/10/2019,0
Mia Boyd,3/10/2019,0
Irma Cooper,3/10/2019,0
Mark Jacobs,3/10/2019,0
Carla Howell,3/10/2019,0
Evan Graham,3/10/2019,0
Beatrice Schmidt,3/10/2019,0
Laurie Gibson,3/10/2019,0
Norman Chambers,3/10/2019,0
Diane Meyer,3/10/2019,0
Ian Young,3/10/2019,0
Sonia Herrera,3/10/2019,0
Abigail Meyer,3/10/2019,0
Emma Brooks,3/10/2019,0
Kyle Wood,3/10/2019,0
Francisco Hudson,3/10/2019,0
David Garza,3/10/2019,0
Dana Tucker,3/10/2019,0
Elmer Sims,3/10/2019,0
Roland Hanson,3/10/2019,0
Stacey Ray,3/10/2019,0
Jeanette Barnes,3/10/2019,0
Rhonda Terry,3/10/2019,0
Chris Hamilton,3/10/2019,0
Jared Gonzales,3/11/2019,0
Sandra Lopez,3/11/2019,0
Devon Riley,3/11/2019,0
Matthew Silva,3/11/2019,0
Shelly Stewart,3/11/2019,0
Aubrey Grant,3/11/2019,0
Alvin Gutierrez,3/11/2019,0
Norman Newman,3/11/2019,0
Scott Franklin,3/11/2019,0
Claude Mills,3/11/2019,0
Colleen Flores,3/11/2019,0
Cherly Jackson,3/11/2019,0
Ana Lewis,3/11/2019,0
Arthur Morris,3/11/2019,0
Devon Beck,3/11/2019,0
Alyssa Medina,3/11/2019,0
Joanne Kim,3/11/2019,0
Gabe Wright,3/11/2019,0
Rose Watts,3/11/2019,0
Ruben Gutierrez,3/11/2019,0
Devon Lee,3/11/2019,0
Anthony Soto,3/11/2019,0
Julian Little,3/11/2019,0
Russell Brown,3/11/2019,0
Mia Boyd,3/11/2019,0
Irma Cooper,3/11/2019,0
Mark Jacobs,3/11/2019,0
Carla Howell,3/11/2019,0
Evan Graham,3/11/2019,0
Beatrice Schmidt,3/11/2019,0
Laurie Gibson,3/11/2019,0
Norman Chambers,3/11/2019,0
Diane Meyer,3/11/2019,0
Ian Young,3/11/2019,0
Sonia Herrera,3/11/2019,0
Abigail Meyer,3/11/2019,0
Emma Brooks,3/11/2019,0
Kyle Wood,3/11/2019,0
Francisco Hudson,3/11/2019,0
David Garza,3/11/2019,0
Dana Tucker,3/11/2019,0
Elmer Sims,3/11/2019,0
Roland Hanson,3/11/2019,0
Stacey Ray,3/11/2019,0
Jeanette Barnes,3/11/2019,0
Rhonda Terry,3/11/2019,0
Chris Hamilton,3/11/2019,0
Jared Gonzales,3/12/2019,0
Sandra Lopez,3/12/2019,0
Devon Riley,3/12/2019,0
Matthew Silva,3/12/2019,0
Shelly Stewart,3/12/2019,0
Aubrey Grant,3/12/2019,0
Alvin Gutierrez,3/12/2019,0
Norman Newman,3/12/2019,0
Scott Franklin,3/12/2019,0
Claude Mills,3/12/2019,0
Colleen Flores,3/12/2019,0
Cherly Jackson,3/12/2019,0
Ana Lewis,3/12/2019,0
Arthur Morris,3/12/2019,0
Devon Beck,3/12/2019,0
Alyssa Medina,3/12/2019,0
Joanne Kim,3/12/2019,0
Gabe Wright,3/12/2019,0
Rose Watts,3/12/2019,0
Ruben Gutierrez,3/12/2019,0
Devon Lee,3/12/2019,0
Anthony Soto,3/12/2019,0
Julian Little,3/12/2019,0
Russell Brown,3/12/2019,0
Mia Boyd,3/12/2019,0
Irma Cooper,3/12/2019,0
Mark Jacobs,3/12/2019,0
Carla Howell,3/12/2019,0
Evan Graham,3/12/2019,0
Beatrice Schmidt,3/12/2019,0
Laurie Gibson,3/12/2019,0
Norman Chambers,3/12/2019,0
Diane Meyer,3/12/2019,0
Ian Young,3/12/2019,0
Sonia Herrera,3/12/2019,0
